Download folder: C:\Users\Jerry\Downloads
AMZN:
timestamp,open,high,low,close,volume
2025-12-12,229.8700,230.0800,225.1200,226.1900,35639118
2025-12-11,230.7100,232.1100,228.6901,230.2800,28249599
2025-12-10,228.8050,232.4200,228.4600,231.7800,38790736
2025-12-09,226.8400,228.5700,225.1100,227.9200,25712299
2025-12-08,229.5900,230.8300,226.2700,226.8900,34681553
2025-12-05,230.3200,231.2400,228.5470,229.5300,33117377
2025-12-04,232.7700,233.5000,226.8000,229.1100,45683224
2025-12-03,233.3500,233.3800,230.6100,232.3800,35495058
2025-12-02,235.0050,238.9700,233.5500,234.4200,45785363
2025-12-01,233.2200,235.7970,232.2500,233.8800,42903954
2025-11-28,231.2400,233.2850,230.2200,233.2200,20292329
2025-11-26,230.7400,231.7474,228.7700,229.1600,38497922
2025-11-25,226.3800,230.5200,223.8000,229.6700,39379339
2025-11-24,222.5550,227.3300,222.2700,226.2800,54318395
2025-11-21,216.3450,222.2100,215.1800,220.6900,68490464
2025-11-20,227.0500,227.4100,216.7400,217.1400,50308962
2025-11-19,223.7350,223.7350,218.5200,222.6900,58335643
2025-11-18,228.1000,230.2000,222.4200,222.5500,60608442
2025-11-17,233.2500,234.6000,229.1900,232.8700,59919018
2025-11-14,235.0600,238.7300,232.8900,234.6900,38956669
2025-11-13,243.0500,243.7500,236.5000,237.5800,41401738
2025-11-12,250.2350,250.3700,243.7500,244.2000,31190063
2025-11-11,248.4100,249.7499,247.2300,249.1000,23564060
2025-11-10,248.3400,251.7500,245.5900,248.4000,36476514
2025-11-07,242.9000,244.9000,238.4900,244.4100,46374294
2025-11-06,249.1550,250.3800,242.1700,243.0400,46004203
2025-11-05,249.0300,251.0000,246.1600,250.2000,39234469
2025-11-04,250.3800,257.0100,248.6600,249.3200,51546311
2025-11-03,255.3600,258.6000,252.9000,254.0000,95997816
2025-10-31,250.1000,250.5000,243.9800,244.2200,166340808
2025-10-30,227.0600,228.4400,222.7500,222.8600,102252937
2025-10-29,231.6720,232.8200,227.7600,230.3000,52036151
2025-10-28,228.2150,231.4850,226.2100,229.2500,47100026
2025-10-27,227.6600,228.4000,225.5400,226.9700,38266995
2025-10-24,221.9700,225.4000,221.9000,224.2100,38685053
2025-10-23,219.0000,221.3000,218.1800,221.0900,31539999
2025-10-22,219.3000,220.0050,216.5200,217.9500,44308538
2025-10-21,218.4300,223.3200,217.9900,222.0300,50494565
2025-10-20,213.8800,216.6900,213.5900,216.4800,38882819
2025-10-17,214.5600,214.8000,211.0300,213.0400,45986944
2025-10-16,215.6700,218.5900,212.8101,214.4700,42414591
2025-10-15,216.6200,217.7100,212.6600,215.5700,45909469
